No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
967,Anuradhapura,Anuradhapura,Medawachchiya,2014-02-07,Electrocuted,Female,30,Subadults and adults
968,Eastern,Ampara,Lahugala,2014-02-08,Hakkapatas,Male,Unknown,Unknown
969,Eastern,Ampara,Lahugala,2014-02-10,Body destroyed,Unknown,Unknown,Unknown
970,Polonnaruwa,Trincomalee,Thampalakamam,2014-02-11,Other,Female,20-25,Subadults and adults
971,Polonnaruwa,Matale,Elahera,2014-02-14,Unknown,Unknown,Unknown,Unknown
972,Polonnaruwa,Matale,Elahera,2014-02-14,Unknown,Unknown,Unknown,Unknown
973,Eastern,Ampara,Uhana,2014-02-16,Injured,Male,15-20,Subadults and adults
974,Polonnaruwa,Trincomalee,Kantalai,2014-02-18,Hakkapatas,Female,20-30,Subadults and adults
975,Southern,Monaragala,Thanamalvila,2014-02-18,Gunshot,Female,20,Subadults and adults
976,Polonnaruwa,Trincomalee,Trincomalee Town and Gravets,2014-02-21,Garbage consumption,Male,30,Subadults and adults
977,Polonnaruwa,Polonnaruwa,Dimbulagala,2014-02-22,Unknown,Male,10,Juvenile
978,Southern,Hambantota,Sooriyawewa,2014-02-23,Body destroyed,Unknown,Unknown,Unknown
979,Eastern,Ampara,Addalachchenai,2014-02-26,Electrocuted,Male,35,Subadults and adults
980,Polonnaruwa,Trincomalee,Seruvila,2014-02-28,Unknown,Male,35,Subadults and adults
981,Polonnaruwa,Polonnaruwa,Dimbulagala,2014-02-28,Hakkapatas,Male,9-10,Juvenile
982,Polonnaruwa,Polonnaruwa,Lankapura,2014-03-01,Unknown,Female,15-18,Subadults and adults
983,Polonnaruwa,Ampara,Mahaoya,2014-03-03,Unknown,Female,15-18,Subadults and adults
984,Vavuniya,Mannar,Nanaddan,2014-03-03,Hakkapatas,Male,2.5,Calf
985,Anuradhapura,Anuradhapura,Nochchiyagama,2014-03-05,Natural,Male,Unknown,Unknown
986,Uva,Hambantota,Thissamaharama,2014-03-08,Natural,Male,45,Subadults and adults
987,Anuradhapura,Anuradhapura,Palugaswewa,2014-03-09,Gunshot,Male,30,Subadults and adults
988,Vavuniya,Mannar,Manthai West,2014-03-10,Hakkapatas,Female,40,Subadults and adults
989,Vavuniya,Mannar,Nanaddan,2014-03-10,Gunshot,Male,Unknown,Unknown
990,Anuradhapura,Puttalam,Vanathavilluwa,2014-03-11,Gunshot,Male,20,Subadults and adults
991,Polonnaruwa,Trincomalee,Morawewa,2014-03-12,Hakkapatas,Female,30-35,Subadults and adults
992,Southern,Monaragala,Thanamalvila,2014-03-13,Gunshot,Male,40-45,Subadults and adults
993,Vavuniya,Mannar,Musali,2014-03-16,Unknown,Male,20-25,Subadults and adults
994,Vavuniya,Mannar,Nanaddan,2014-03-18,Gunshot,Male,Unknown,Unknown
995,Vavuniya,Vavuniya,Vavuniya North,2014-03-19,Hakkapatas,Male,10-15,Unknown
996,North Western,Kurunegala,Galnewa,2014-03-20,Poisned,Female,30-35,Subadults and adults
997,Eastern,Ampara,Samanthurai,2014-03-23,Poisned,Male,25-30,Subadults and adults
998,Eastern,Badulla,Mahiyanganaya,2014-03-23,Gunshot,Male,30,Subadults and adults
999,Southern,Hambantota,Hambantota,2014-03-25,Gunshot,Female,20,Subadults and adults
1000,Polonnaruwa,Trincomalee,Kinniya,2014-03-25,Hakkapatas,Female,15-20,Subadults and adults
1001,Eastern,Ampara,Mahaoya,2014-03-25,Injured,Female,3.5,Calf
1002,Anuradhapura,Mannar,Musali,2014-03-26,Gunshot,Male,35,Subadults and adults
1003,Polonnaruwa,Trincomalee,Kantalai,2014-03-27,Unknown,Male,3-4,Calf
1004,Polonnaruwa,Trincomalee,Gomarankadawala,2014-03-27,Hakkapatas,Male,7-9,Juvenile
1005,Polonnaruwa,Trincomalee,Gomarankadawala,2014-03-30,Hakkapatas,Male,4,Calf
1006,Southern,Ratnapura,Embilipitiya,2014-03-31,Natural,Male,Unknown,Unknown
1007,North Western,Puttalam,Karuwalagaswewa,2014-03-31,Gunshot,Male,25,Subadults and adults
1008,Southern,Ratnapura,Embilipitiya,2014-03-31,Natural,Female,Unknown,Unknown
1009,Polonnaruwa,Polonnaruwa,Dimbulagala,2014-04-02,Body destroyed,Unknown,30-35,Subadults and adults
1010,Anuradhapura,Anuradhapura,Thalawa,2014-04-02,Gunshot,Male,30-35,Subadults and adults
1011,Southern,Monaragala,Thanamalvila,2014-04-03,Gunshot,Female,30,Subadults and adults
1012,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2014-04-05,Unknown,Male,20-30,Subadults and adults
1013,Eastern,Ampara,Uhana,2014-04-07,Hakkapatas,Male,35-40,Subadults and adults
1014,North Western,Puttalam,Karuwalagaswewa,2014-04-08,Gunshot,Male,25-30,Subadults and adults
1015,Eastern,Ampara,Dehiattakandiya,2014-04-10,Gunshot,Male,45-48,Subadults and adults
1016,Eastern,Ampara,Damana,2014-04-12,Hakkapatas,Female,4-5,Juvenile
1017,Polonnaruwa,Trincomalee,Kinniya,2014-04-12,Hakkapatas,Male,8-10,Juvenile
1018,Vavuniya,Mannar,Nanaddan,2014-04-12,Hakkapatas,Male,4,Calf
1019,North Western,Kurunegala,Galnewa,2014-04-15,Gunshot,Male,32,Subadults and adults
1020,Polonnaruwa,Polonnaruwa,Welikanda,2014-04-17,Gunshot,Female,40,Subadults and adults
1021,Polonnaruwa,Trincomalee,Kantalai,2014-04-23,Poisned,Male,30-35,Subadults and adults
1022,Eastern,Badulla,Mahiyanganaya,2014-04-23,Gunshot,Male,45-50,Subadults and adults
1023,Uva,Monaragala,Siyambalanduwa,2014-04-23,Unknown,Male,3.5,Calf
1024,Polonnaruwa,Trincomalee,Gomarankadawala,2014-04-26,Poisned,Male,35-40,Subadults and adults
1025,Central,Nuwara Eliya,Hanguranketha,2014-04-30,Unknown,Male,4,Calf
1026,Polonnaruwa,Trincomalee,Seruvila,2014-05-02,Hakkapatas,Female,25-30,Subadults and adults
1027,Kilinochchi,Mullaitivu,Thunukkai,2014-05-03,Hakkapatas,Female,9,Juvenile
1028,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2014-05-05,Train Accident,Male,25-30,Subadults and adults
1029,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2014-05-05,Train Accident,Male,18-20,Subadults and adults
1030,Uva,Monaragala,Bibile,2014-05-06,Gunshot,Male,25,Subadults and adults
1031,Kilinochchi,Mullaitivu,Oddusuddan,2014-05-06,Train Accident,Male,25-30,Subadults and adults
1032,Eastern,Ampara,Dehiattakandiya,2014-05-06,Unknown,Male,2 Months,Infant
1033,Southern,Hambantota,Hambantota,2014-05-06,Gunshot,Male,12-15,Subadults and adults
1034,Eastern,Batticaloa,Manmunai West,2014-05-07,Injured,Male,30-35,Subadults and adults
1035,Central,Nuwara Eliya,Walapane,2014-05-07,Natural,Male,35,Subadults and adults
1036,Polonnaruwa,Trincomalee,Gomarankadawala,2014-05-07,Hakkapatas,Male,4-6,Juvenile
1037,Uva,Monaragala,Madulla,2014-05-08,Gunshot,Male,7,Juvenile
1038,Polonnaruwa,Polonnaruwa,Medirigiriya,2014-05-09,Unknown,Unknown,6-8,Juvenile
1039,Polonnaruwa,Trincomalee,Morawewa,2014-05-09,Body destroyed,Female,10-12,Juvenile
1040,North Western,Puttalam,Nawagattegama,2014-05-10,Hakkapatas,Male,7.5,Juvenile
1041,Polonnaruwa,Trincomalee,Seruvila,2014-05-11,Unknown,Male,30-35,Subadults and adults
1042,Uva,Monaragala,Madulla,2014-05-20,Natural,Male,6-7,Juvenile
1043,Eastern,Ampara,Dehiattakandiya,2014-05-23,Unknown,Unknown,Unknown,Unknown
1044,Anuradhapura,Anuradhapura,Kekirawa,2014-05-24,Accident,Male,50-55,Subadults and adults
1045,Uva,Monaragala,Katharagama,2014-05-25,Unknown,Female,15,Subadults and adults
1046,Eastern,Ampara,Dehiattakandiya,2014-05-26,Gunshot,Female,25-30,Subadults and adults
1047,Eastern,Ampara,Dehiattakandiya,2014-05-26,Unknown,Unknown,Unknown,Unknown
1048,Southern,Ratnapura,Embilipitiya,2014-05-31,Natural,Female,Unknown,Unknown
1049,Kilinochchi,Mullaitivu,Puthukudiyiruppu,2014-05-31,Accident,Male,35,Subadults and adults
1050,Southern,Ratnapura,Embilipitiya,2014-05-31,Natural,Male,Unknown,Unknown
1051,Polonnaruwa,Polonnaruwa,Dimbulagala,2014-06-01,Hakkapatas,Female,10,Juvenile
1052,Polonnaruwa,Trincomalee,Gomarankadawala,2014-06-02,Hakkapatas,Female,5-7,Juvenile
1053,Uva,Monaragala,Buttala,2014-06-04,Unknown,Unknown,20,Subadults and adults
1054,Central,Badulla,Hildummulla,2014-06-05,Gunshot,Male,20,Subadults and adults
1055,Eastern,Ampara,Uhana,2014-06-07,Hakkapatas,Female,12-15,Subadults and adults
1056,Polonnaruwa,Trincomalee,Muttur,2014-06-07,Hakkapatas,Male,18-20,Subadults and adults
1057,Polonnaruwa,Polonnaruwa,Dimbulagala,2014-06-07,Train Accident,Male,40,Subadults and adults
1058,North Western,Kurunegala,Palagala,2014-06-09,Accident,Female,30,Subadults and adults
1059,Eastern,Ampara,Uhana,2014-06-20,Electrocuted,Male,30-40,Subadults and adults
1060,Central,Nuwara Eliya,Walapane,2014-06-30,Natural,Male,25,Subadults and adults
1061,Anuradhapura,Anuradhapura,N. Palatha Central,2014-07-05,Gunshot,Male,25-30,Subadults and adults
1062,Anuradhapura,Anuradhapura,Kekirawa,2014-07-05,Train Accident,Male,40-45,Subadults and adults
1063,Southern,Ratnapura,Balangoda,2014-07-08,Unknown,Male,35-40,Subadults and adults
1064,Anuradhapura,Mannar,Musali,2014-07-10,Unknown,Unknown,4.5,Juvenile
