No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category
212,Polonnaruwa,Polonnaruwa,Thamankaduwa,2010-12-09,Unknown,Male,2,Calf
213,Polonnaruwa,Polonnaruwa,Dimbulagala,2010-12-11,Poisned,Male,4,Calf
214,Polonnaruwa,Trincomalee,Serunuwara,2010-12-12,Hakkapatas,Male,10-12,Juvenile
215,Polonnaruwa,Polonnaruwa,Welikanda,2010-12-13,Unknown,Male,20-25,Subadults and adults
216,Polonnaruwa,Polonnaruwa,Hinguraggoda,2010-12-19,Unknown,Male,22,Subadults and adults
217,Eastern,Ampara,Mahaoya,2010-12-20,Gunshot,Male,30-35,Subadults and adults
218,Southern,Monaragala,Thanamalvila,2010-12-20,Unknown,Male,35,Subadults and adults
219,North Western,Anuradhapura,Padaviya,2010-12-20,Gunshot,Male,30,Subadults and adults
220,Southern,Hambantota,Hambanthota,2010-12-24,Body destroyed,Unknown,Unknown,Unknown
221,Polonnaruwa,Polonnaruwa,Madirigiriya,2010-12-24,Other,Female,3,Calf
222,North Western,Anuradhapura,Horowpothana,2010-12-25,Unknown,Male,15,Subadults and adults
223,Polonnaruwa,Polonnaruwa,Welikanda,2010-12-25,Other,Male,15-20,Subadults and adults
224,Southern,Ratnapura,Embilipitiya,2010-12-29,Unknown,Male,1 Month,Infant
225,North Western,Puttalam,Nawagaththegama,2010-12-29,Gunshot,Male,35-40,Subadults and adults
226,Eastern,Ampara,Pothuvil,2010-12-29,Electrocuted,Male,25-30,Subadults and adults
227,Central,Kandy,Ududumbara,2010-12-31,Poisned,Female,45,Subadults and adults
