No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category,Main_Cause
1344,North Western,Puttalam,Karuwalagaswewa,2015-11-16,Electrocuted,Male,Unknown,Unknown,Unintentional
1345,Anuradhapura,Anuradhapura,N. Palatha Central,2015-11-16,Natural,Female,20,Subadults and adults,Natural
1346,Vavuniya,Mannar,Mannar Town,2015-11-17,Hakkapatas,Male,5,Juvenile,Intentional
1347,Uva,Monaragala,Bibile,2015-11-19,Natural,Male,1-1.5,Calf,Natural
1348,Anuradhapura,Anuradhapura,Ipalogama,2015-11-20,Gunshot,Female,35-40,Subadults and adults,Intentional
1349,Polonnaruwa,Matale,Matale,2015-11-21,Hakkapatas,Male,25-30,Subadults and adults,Intentional
1350,Eastern,Ampara,Mahaoya,2015-11-26,Hakkapatas,Male,25-30,Subadults and adults,Intentional
1351,Eastern,Ampara,Lahugala,2015-11-27,Unknown,Male,18-20,Subadults and adults,Unknown
1352,Southern,Monaragala,Sevanagala,2015-11-28,Unknown,Male,15-20,Subadults and adults,Unknown
1353,Eastern,Batticaloa,Porativu Pattu,2015-11-30,Electrocuted,Male,30-35,Subadults and adults,Unintentional
1354,Eastern,Ampara,Addalachchenai,2015-11-30,Unknown,Male,20-30,Subadults and adults,Unknown
1355,Eastern,Ampara,Thirukkovil,2015-12-01,Hakkapatas,Female,5-7,Juvenile,Intentional
1356,Southern,Monaragala,Sevanagala,2015-12-04,Unknown,Male,15-20,Subadults and adults,Unknown
1357,Polonnaruwa,Polonnaruwa,Hingurakgoda,2015-12-09,Gunshot,Female,6,Juvenile,Intentional
1358,Southern,Monaragala,Thanamalvila,2015-12-10,Gunshot,Male,35-40,Subadults and adults,Intentional
1359,Polonnaruwa,Polonnaruwa,Hingurakgoda,2015-12-10,Natural,Male,40-45,Subadults and adults,Natural
1360,Polonnaruwa,Matale,Dambulla,2015-12-15,Hakkapatas,Male,20-25,Subadults and adults,Intentional
1361,Anuradhapura,Anuradhapura,Mihinthale,2015-12-22,Gunshot,Male,8,Juvenile,Intentional
1362,Anuradhapura,Anuradhapura,Thirappane,2015-12-22,Electrocuted,Male,25,Subadults and adults,Unintentional
1363,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2015-12-29,Train Accident,Male,3,Calf,Unintentional
1364,Southern,Monaragala,Sevanagala,2015-12-29,Unknown,Male,30-35,Subadults and adults,Unknown
1365,Trincomalee,Trincomalee,Unknown,2015-12-31,Unknown,Unknown,Unknown,Unknown,Unknown
1366,Trincomalee,Trincomalee,Unknown,2015-12-31,Unknown,Unknown,Unknown,Unknown,Unknown
1367,Trincomalee,Trincomalee,Unknown,2015-12-31,Unknown,Unknown,Unknown,Unknown,Unknown
1368,Anuradhapura,Anuradhapura,Horowpothana,2015-12-31,Unknown,Unknown,Unknown,Unknown,Unknown
1369,Trincomalee,Trincomalee,Unknown,2015-12-31,Unknown,Unknown,Unknown,Unknown,Unknown
1370,Eastern,Ampara,Thirukkovil,2016-01-03,Unknown,Male,20-25,Subadults and adults,Unknown
1371,Eastern,Ampara,Pothuvil,2016-01-06,Unknown,Male,30-35,Subadults and adults,Unknown
1372,Eastern,Batticaloa,Manmunai West,2016-01-07,Electrocuted,Male,25,Subadults and adults,Unintentional
1373,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2016-01-08,Gunshot,Male,10-15,Unknown,Intentional
1374,Uva,Monaragala,Buttala,2016-01-09,Gunshot,Male,35,Subadults and adults,Intentional
1375,Puttalam,Puttalam,Puttalam,2016-01-10,Injured,Male,35,Subadults and adults,Natural
1376,Eastern,Ampara,Pothuvil,2016-01-10,Unknown,Male,20-25,Subadults and adults,Unknown
1377,Vavuniya,Vavuniya,Vavuniya,2016-01-11,Electrocuted,Male,25-30,Subadults and adults,Unintentional
1378,Southern,Monaragala,Thanamalvila,2016-01-11,Gunshot,Male,15,Subadults and adults,Intentional
1379,Eastern,Ampara,Alayadiwembu,2016-01-11,Unknown,Female,7,Juvenile,Unknown
1380,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2016-01-13,Hakkapatas,Male,8,Juvenile,Intentional
1381,Trincomalee,Trincomalee,Kuchchaveli,2016-01-14,Unknown,Unknown,15-20,Subadults and adults,Unknown
1382,Southern,Monaragala,Thanamalvila,2016-01-15,Gunshot,Male,30,Subadults and adults,Intentional
1383,Polonnaruwa,Polonnaruwa,Dimbulagala,2016-01-18,Unknown,Male,35-40,Subadults and adults,Unknown
1384,Eastern,Batticaloa,Manmunai South-West,2016-01-19,Electrocuted,Male,40-45,Subadults and adults,Unintentional
1385,Eastern,Batticaloa,Manmunai West,2016-01-20,Electrocuted,Male,30,Subadults and adults,Unintentional
1386,Central,Badulla,Mahiyanganaya,2016-01-25,Electrocuted,Male,33,Subadults and adults,Unintentional
1387,Eastern,Ampara,Thirukkovil,2016-01-25,Unknown,Male,5-7,Juvenile,Unknown
1388,Eastern,Ampara,Thirukkovil,2016-01-25,Unknown,Female,20-25,Subadults and adults,Unknown
1389,Central,Badulla,Mahiyanganaya,2016-01-25,Electrocuted,Male,30,Subadults and adults,Unintentional
1390,Polonnaruwa,Polonnaruwa,Hingurakgoda,2016-01-25,Other,Male,7.5 Weeks,Unknown,Other
1391,Wayamba,Kurunegala,Mahawa,2016-01-29,Electrocuted,Male,8-10,Juvenile,Unintentional
1392,Polonnaruwa,Polonnaruwa,Welikanda,2016-01-30,Electrocuted,Male,40-45,Subadults and adults,Unintentional
1393,Eastern,Batticaloa,Manmunai South-West,2016-02-01,Electrocuted,Male,25-30,Subadults and adults,Unintentional
1394,Eastern,Batticaloa,Koralai Pattu (Valachchenai),2016-02-01,Gunshot,Male,40-45,Subadults and adults,Intentional
1395,Eastern,Badulla,Mahiyanganaya,2016-02-01,Body destroyed,Male,20-25,Subadults and adults,Unknown
1396,Eastern,Batticaloa,Manmunai South-West,2016-02-01,Gunshot,Male,25-30,Subadults and adults,Intentional
1397,Wayamba,Kurunegala,Galgamuwa,2016-02-01,Hakkapatas,Male,10-12,Juvenile,Intentional
1398,Eastern,Ampara,Mahaoya,2016-02-02,Unknown,Male,30-35,Subadults and adults,Unknown
1399,Trincomalee,Trincomalee,Seruvila,2016-02-03,Electrocuted,Male,30-35,Subadults and adults,Unintentional
1400,Vavuniya,Mannar,Mannar Town,2016-02-03,Gunshot,Female,25-30,Subadults and adults,Intentional
1401,Eastern,Badulla,Mahiyanganaya,2016-02-04,Gunshot,Male,20-25,Subadults and adults,Intentional
1402,Anuradhapura,Anuradhapura,Horowpothana,2016-02-04,Poisned,Male,55-60,Subadults and adults,Intentional
1403,Southern,Monaragala,Thanamalvila,2016-02-05,Hakkapatas,Male,25-30,Subadults and adults,Intentional
1404,Trincomalee,Trincomalee,Seruvila,2016-02-06,Unknown,Male,25-30,Subadults and adults,Unknown
1405,Eastern,Batticaloa,Koralai Pattu North,2016-02-08,Accident,Female,8-10,Juvenile,Unintentional
1406,Eastern,Ampara,Thirukkovil,2016-02-10,Hakkapatas,Female,5-6,Juvenile,Intentional
1407,Polonnaruwa,Matale,Dambulla,2016-02-10,Gunshot,Male,30-35,Subadults and adults,Intentional
1408,Trincomalee,Trincomalee,Kantalai,2016-02-13,Hakkapatas,Male,12-15,Subadults and adults,Intentional
1409,Polonnaruwa,Polonnaruwa,Medirigiriya,2016-02-16,Electrocuted,Male,18-20,Subadults and adults,Unintentional
1410,Wayamba,Anuradhapura,Giribawa,2016-02-18,Gunshot,Male,5.5 Month,Infant,Intentional
1411,Vavuniya,Anuradhapura,Padaviya,2016-02-18,Gunshot,Female,6-8,Juvenile,Intentional
1412,Anuradhapura,Anuradhapura,Horowpothana,2016-02-18,Hakkapatas,Male,12,Juvenile,Intentional
1413,Eastern,Batticaloa,Eravur Pattu,2016-02-20,Unknown,Male,15,Subadults and adults,Unknown
1414,Polonnaruwa,Polonnaruwa,Thamankaduwa,2016-02-23,Gunshot,Male,15-20,Subadults and adults,Intentional
1415,Southern,Monaragala,Thanamalvila,2016-02-25,Gunshot,Male,25-30,Subadults and adults,Intentional
1416,Central,Kandy,Minipe,2016-02-26,Gunshot,Male,25-30,Subadults and adults,Intentional
1417,Uva,Monaragala,Moneragala,2016-02-29,Attack by an elephant,Male,25-30,Subadults and adults,Natural
1418,Polonnaruwa,Polonnaruwa,Hingurakgoda,2016-02-29,Unknown,Male,20,Subadults and adults,Unknown
1419,Polonnaruwa,Polonnaruwa,Elahera,2016-03-01,Other,Male,12-15,Subadults and adults,Other
1420,Puttalam,Puttalam,Karuwalagaswewa,2016-03-02,Unknown,Male,15,Subadults and adults,Unknown
